emp_no,last_name,first_name,birth_date,titles,from_date,to_date
100916,Aamodt,Heejo,1965-01-18,Engineer/Senior Engineer,1992-04-22,9999-01-01
234739,Aamodt,Foong,1965-01-31,Senior Engineer,1986-06-28,9999-01-01
219052,Acton,Marsal,1965-01-06,Staff,1995-08-02,9999-01-01
497007,Adachi,Oldrich,1965-01-23,Engineer/Senior Engineer,1998-08-09,9999-01-01
40773,Aingworth,Shimshon,1965-01-09,Staff/Senior Staff,1986-04-13,9999-01-01
48947,Akaboshi,Filipp,1965-01-05,Senior Staff,1992-05-20,9999-01-01
207021,Akaboshi,Jacqueline,1965-01-20,Engineer,1997-12-06,9999-01-01
230287,Alameldin,Renny,1965-01-14,Assistant Engineer,1997-09-28,9999-01-01
65998,Alameldin,Mandell,1965-01-09,Senior Staff/Staff,1989-04-08,9999-01-01
103196,Albarhamtoshy,Djenana,1965-01-16,Staff/Senior Staff,1988-07-16,9999-01-01
51057,Albarhamtoshy,Theirry,1965-01-29,Staff/Senior Staff,1991-09-27,9999-01-01
452982,Aloia,Lobel,1965-01-29,Senior Staff,1994-12-29,9999-01-01
428082,Alpin,Ronghao,1965-01-09,Staff/Senior Staff,1991-09-11,9999-01-01
231798,Alvarado,Goetz,1965-01-28,Engineer/Senior Engineer,1988-12-25,9999-01-01
106710,Anandan,Babette,1965-01-31,Staff/Senior Staff,1986-11-22,9999-01-01
232178,Anandan,Etsuo,1965-01-29,Staff/Senior Staff,1989-12-13,9999-01-01
428219,Androutsos,Ghassan,1965-01-21,Senior Staff/Staff,1987-12-26,9999-01-01
214866,Angel,Gopalakrishnan,1965-02-01,Engineer/Senior Engineer,1997-07-05,9999-01-01
455914,Angelopoulos,Peer,1965-01-01,Engineer/Senior Engineer,1989-07-23,9999-01-01
238422,Angelov,Vishv,1965-01-10,Senior Staff/Staff,1988-03-08,9999-01-01
235729,Anger,Henk,1965-02-01,Staff/Senior Staff,1993-01-19,9999-01-01
216054,Angiulli,Sahrah,1965-01-24,Senior Staff/Staff,1986-07-31,9999-01-01
241254,Anguita,Jagoda,1965-01-15,Senior Engineer,1993-05-11,9999-01-01
414543,Anick,Bernd,1965-01-03,Senior Engineer,1988-11-19,9999-01-01
247875,Anick,Xiong,1965-01-02,Senior Staff,1991-04-23,9999-01-01
86672,Anido,JoAnne,1965-01-15,Staff,1995-09-15,9999-01-01
266206,Anily,Zsolt,1965-02-01,Senior Staff/Staff,1985-08-19,9999-01-01
99590,Anily,Dhritiman,1965-01-24,Staff,1998-12-16,9999-01-01
207068,Ariola,Zhiguo,1965-01-13,Senior Staff,1994-09-07,9999-01-01
448918,Arlazarov,Chiradeep,1965-01-23,Engineer/Senior Engineer,1989-10-06,9999-01-01
485489,Armand,Keiichiro,1965-01-01,Senior Engineer/Assistant Engineer/Engineer,1986-12-14,9999-01-01
52038,Armand,Chikako,1965-01-13,Senior Engineer,1985-05-18,9999-01-01
35087,Ashish,Leif,1965-01-17,Staff/Senior Staff,1994-10-14,9999-01-01
273286,Asmuth,Brigham,1965-01-26,Engineer/Senior Engineer,1989-01-23,9999-01-01
288166,Asmuth,Masoud,1965-01-11,Staff,1994-09-05,9999-01-01
98639,Assaf,Florina,1965-01-29,Staff,1996-05-18,9999-01-01
261662,Assaf,Berni,1965-01-11,Senior Staff,1989-09-08,9999-01-01
90292,Assaf,Koichi,1965-01-09,Senior Engineer/Engineer,1990-05-26,9999-01-01
400780,Asser,Poornachandra,1965-01-09,Engineer,1993-11-07,9999-01-01
220029,Asser,Demos,1965-01-17,Senior Engineer,1985-11-04,9999-01-01
92685,Atchley,Mang,1965-01-26,Senior Staff,1995-06-07,9999-01-01
458191,Atchley,George,1965-01-28,Staff,1997-07-02,9999-01-01
443108,Atrawala,Christfried,1965-01-14,Senior Staff,1998-11-29,9999-01-01
84451,Aumann,Shiv,1965-01-20,Senior Engineer,1998-06-14,9999-01-01
109598,Auyong,Stamatina,1965-02-01,Senior Staff,1988-07-05,9999-01-01
30465,Avouris,Randi,1965-01-28,Senior Engineer/Engineer,1986-07-16,9999-01-01
205018,Awdeh,Yahiko,1965-01-26,Engineer,1998-08-05,9999-01-01
222998,Awdeh,Leaf,1965-01-07,Staff/Senior Staff,1992-10-02,9999-01-01
267304,Axelband,Jordanka,1965-01-06,Senior Staff,1994-06-27,9999-01-01
458790,Azadmanesh,Ramya,1965-01-17,Senior Engineer/Engineer,1988-11-19,9999-01-01
21843,Azadmanesh,Karsten,1965-01-09,Senior Engineer,1985-11-29,9999-01-01
284711,Azevdeo,Martijn,1965-01-21,Senior Engineer,1988-02-10,9999-01-01
227901,Azuma,Francesca,1965-01-26,Senior Staff/Staff,1996-06-08,9999-01-01
209712,Baak,Nimmagadda,1965-01-17,Assistant Engineer/Engineer,1987-10-30,9999-01-01
83544,Baak,Leaf,1965-01-18,Senior Staff/Staff,1994-09-05,9999-01-01
260153,Baar,Mingdong,1965-01-28,Technique Leader,1991-10-14,9999-01-01
273396,Baba,Wayne,1965-01-10,Engineer,1998-03-07,9999-01-01
220611,Babb,Yuping,1965-01-23,Staff/Senior Staff,1995-01-31,9999-01-01
404018,Babb,Valery,1965-01-11,Senior Engineer,1998-10-19,9999-01-01
38103,Babu,Masasuke,1965-01-12,Engineer/Senior Engineer,1988-03-31,9999-01-01
34788,Babu,Ennio,1965-01-27,Senior Engineer,1994-08-31,9999-01-01
49177,Bach,Tze,1965-01-03,Engineer,1999-03-09,9999-01-01
291669,Bach,Faiza,1965-01-04,Engineer,1999-09-13,9999-01-01
431576,Back,Masamitsu,1965-01-06,Staff/Senior Staff,1993-04-12,9999-01-01
230002,Backhouse,Tadahiro,1965-01-07,Senior Engineer/Engineer,1991-10-02,9999-01-01
280291,Badache,Lenore,1965-01-26,Staff,1998-11-24,9999-01-01
426228,Badache,Supot,1965-01-17,Engineer,1996-08-17,9999-01-01
73516,Badache,Qingxiang,1965-01-14,Engineer/Senior Engineer,1989-06-25,9999-01-01
60091,Bade,Surveyors,1965-02-01,Staff/Senior Staff,1990-04-11,9999-01-01
108988,Baek,Oksana,1965-01-19,Staff/Senior Staff,1989-07-20,9999-01-01
270716,Baer,Shunichi,1965-01-19,Staff,1998-02-04,9999-01-01
38550,Baez,JoAnne,1965-01-14,Senior Engineer,1987-02-16,9999-01-01
447982,Baezner,Shiv,1965-01-25,Engineer/Senior Engineer,1990-12-17,9999-01-01
285905,Bage,Kellyn,1965-01-09,Senior Staff,1994-11-04,9999-01-01
264939,Bahi,Bogdan,1965-01-10,Senior Engineer/Engineer,1999-02-13,9999-01-01
479601,Bahi,Kayoko,1965-01-19,Staff,1997-02-19,9999-01-01
247456,Bahk,Masako,1965-01-16,Engineer,1997-07-31,9999-01-01
296718,Bahl,Kamakshi,1965-01-30,Senior Engineer,1987-12-22,9999-01-01
297905,Bahl,Marc,1965-01-12,Assistant Engineer,1997-06-18,9999-01-01
450475,Bahl,Saeed,1965-01-21,Senior Staff,1991-01-29,9999-01-01
